Name,Type,Direction,Device Name,Default,Default Multimedia,Default Communications,Device State,Muted,Volume dB,Volume Percent,Min Volume dB,Max Volume dB,Volume Step,Channels Count,Channels dB,Channels  Percent,Item ID,Command-Line Friendly ID,Process Path,Process ID,Window Title,Registry Key,Speakers Config,Default Format
Brave Browser,Application,Render,Plantronics Blackwire 3220 Series,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{307abe44-551d-4aaf-8ebb-2f7b24289480}|\Device\HarddiskVolume4\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe%b{00000000-0000-0000-0000-000000000000}|1%b20736,Plantronics Blackwire 3220 Series\Application\Brave Browser,C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe,20736,,,,
Brave Browser,Application,Render,Tribit XSound Go,,,,Active,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{9706221b-e3b7-45a8-9b78-f30c8c40787d}|\Device\HarddiskVolume4\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe%b{00000000-0000-0000-0000-000000000000}|1%b20736,Tribit XSound Go\Application\Brave Browser,C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe,20736,,,,
Brave Browser,Application,Render,Realtek(R) Audio,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{c23b9533-805e-46e9-abb1-40ddc33861ba}|\Device\HarddiskVolume4\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe%b{00000000-0000-0000-0000-000000000000}|1%b20736,Realtek(R) Audio\Application\Brave Browser,C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe,20736,,,,
Capture,Subunit,Capture,Plantronics Blackwire 3220 Series,,,,,No,,34.5%,1.00 dB,5.00 dB,1.00 dB,1,2.60 dB,34.5%,{2}.\\?\usb#vid_047f&pid_c056&mi_00#7&1c15c750&0&0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\global/00020005,Plantronics Blackwire 3220 Series\Subunit\Capture,,,,,,
Headphones,Device,Render,Tribit XSound Go,Render,Render,Render,Active,Yes,-13.50 dB,40.2%,-63.50 dB,0.00 dB,0.50 dB,2,"-13.50 dB, -13.50 dB","40.2%, 40.2%",{0.0.0.00000000}.{9706221b-e3b7-45a8-9b78-f30c8c40787d},Tribit XSound Go\Device\Headphones\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{9706221b-e3b7-45a8-9b78-f30c8c40787d},0x3 0x0 0x0,"2 Channel, 16 bit, 48000 Hz"
Headset,Device,Capture,Tribit XSound Go,,,,Active,No,0.00 dB,100.0%,-63.50 dB,0.00 dB,0.50 dB,1,0.00 dB,100.0%,{0.0.1.00000000}.{b157e108-1fef-4655-9fc1-c4cb5fb3a5ed},Tribit XSound Go\Device\Headset\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{b157e108-1fef-4655-9fc1-c4cb5fb3a5ed},,"1 Channel, 16 bit, 16000 Hz"
Headset Earphone,Device,Render,Plantronics Blackwire 3220 Series,,,,Active,Yes,1.35 dB,84.0%,-43.00 dB,5.00 dB,2.00 dB,2,"1.35 dB, 1.35 dB","84.0%, 84.0%",{0.0.0.00000000}.{307abe44-551d-4aaf-8ebb-2f7b24289480},Plantronics Blackwire 3220 Series\Device\Headset Earphone\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{307abe44-551d-4aaf-8ebb-2f7b24289480},0x3 0x0 0x0,"2 Channel, 16 bit, 48000 Hz"
Headset Microphone,Device,Capture,Plantronics Blackwire 3220 Series,Capture,Capture,Capture,Active,No,2.60 dB,43.1%,1.00 dB,5.00 dB,1.00 dB,1,2.60 dB,43.1%,{0.0.1.00000000}.{1cc8771f-2216-4dd6-b2c7-54aaed5551b4},Plantronics Blackwire 3220 Series\Device\Headset Microphone\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{1cc8771f-2216-4dd6-b2c7-54aaed5551b4},,"2 Channel, 16 bit, 48000 Hz"
Microphone,Subunit,Capture,Realtek(R) Audio,,,,,No,,33.4%,0.00 dB,12.00 dB,0.03 dB,2,"6.00 dB, 6.00 dB","33.4%, 33.4%",{2}.\\?\hdaudio#func_01&ven_10ec&dev_0245&subsys_103c8e15&rev_1000#5&b7f6436&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\rtmicintopo/00020000,Realtek(R) Audio\Subunit\Microphone,,,,,,
Microphone,Device,Capture,Realtek(R) Audio,,,,Active,No,6.00 dB,59.7%,0.00 dB,12.00 dB,0.03 dB,2,"6.00 dB, 6.00 dB","59.7%, 59.7%",{0.0.1.00000000}.{abdc628b-4c2a-4e15-a3f1-ec7cda29c8e0},Realtek(R) Audio\Device\Microphone\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{abdc628b-4c2a-4e15-a3f1-ec7cda29c8e0},,"2 Channel, 16 bit, 48000 Hz"
